storey_range,floor_area_sqm,no.of bto,resale application,remaining_lease_months,Distance to nearest MRT,Distance to CBD,isMatureEstate,over_under_classification
14,143.0,7314,26436.0,868,822.4760884,11561.61265,1,1
8,142.0,7314,26436.0,868,626.1067591,7850.537049,1,0
14,143.0,7314,26436.0,868,560.2533065,7989.228813,1,1
8,148.0,7314,26436.0,777,482.6325075,8220.284592,1,0
5,150.0,7314,26436.0,777,482.6325075,8220.284592,1,0
5,146.0,7314,26436.0,869,1204.957788,10424.13262,1,1
5,64.0,7314,26436.0,780,378.1695654,7045.155866,1,1
2,64.0,7314,26436.0,804,380.6162694,7089.631048,1,0
2,67.0,7314,26436.0,773,394.904218,7592.64863,1,1
2,84.0,7314,26436.0,816,1047.425991,6689.499181,1,1
5,93.0,7314,26436.0,818,996.2072039,6740.523461,1,0
5,84.0,7314,26436.0,773,498.3177753,6921.589235,1,1
5,84.0,7314,26436.0,774,498.3177753,6921.589235,1,1
8,83.0,7314,26436.0,791,645.390129,6837.145687,1,1
8,104.0,7314,26436.0,811,754.8298629,6826.566462,1,0
8,84.0,7314,26436.0,811,827.9511997,6739.76284,1,1
8,84.0,7314,26436.0,780,523.4947892,6919.206513,1,1
2,104.0,7314,26436.0,780,378.1695654,7045.155866,1,1
5,85.0,7314,26436.0,804,380.6162694,7089.631048,1,0
2,112.0,7314,26436.0,859,1113.439975,8671.748592,1,1
5,109.0,7314,26436.0,856,882.7579653,8278.63512,1,0
11,113.0,7314,26436.0,855,854.7546702,8235.622539,1,0
14,108.0,7314,26436.0,858,1019.048435,8287.045372,1,1
8,102.0,7314,26436.0,855,830.2720417,8227.243575,1,1
5,103.0,7314,26436.0,855,691.4243175,8107.062124,1,0
29,95.0,7314,26436.0,1088,804.7154129,8013.850838,1,1
5,121.0,7314,26436.0,790,582.6165587,6781.311703,1,1
2,121.0,7314,26436.0,797,585.4592721,6881.061739,1,1
2,121.0,7314,26436.0,792,517.1338696,6708.712613,1,1
14,121.0,7314,26436.0,803,939.9365306,6874.755793,1,1
14,121.0,7314,26436.0,812,819.2214297,7204.801432,1,0
11,131.0,7314,26436.0,802,939.9365306,6874.755793,1,1
2,122.0,7314,26436.0,803,729.5219811,7160.098014,1,1
11,139.0,7314,26436.0,856,830.2720417,8227.243575,1,0
5,133.0,7314,26436.0,855,691.4243175,8107.062124,1,0
8,121.0,7314,26436.0,929,674.131849,7951.275154,1,1
14,120.0,7314,26436.0,1087,804.7154129,8013.850838,1,0
5,123.0,7314,26436.0,828,479.4680429,8506.515238,1,1
11,125.0,7314,26436.0,828,516.8812931,8510.82091,1,1
11,125.0,7314,26436.0,828,460.5906419,8475.558964,1,0
2,151.0,7314,26436.0,790,730.2877282,6764.224514,1,1
5,146.0,7314,26436.0,792,326.3799607,7223.014838,1,1
2,142.0,7314,26436.0,792,326.3799607,7223.014838,1,1
5,150.0,7314,26436.0,859,1066.63218,8308.593708,1,1
5,149.0,7314,26436.0,858,1059.49565,8380.373383,1,0
5,149.0,7314,26436.0,855,556.8898176,7970.28073,1,1
2,64.0,7314,26436.0,803,978.5642914,12506.96053,0,0
2,64.0,7314,26436.0,788,928.0157942,12589.35817,0,0
5,67.0,7314,26436.0,773,751.8721959,12713.94299,0,0
2,67.0,7314,26436.0,770,630.1860891,12933.40004,0,0
5,67.0,7314,26436.0,924,596.3619206,13835.52168,0,0
8,67.0,7314,26436.0,775,358.3946779,13016.41494,0,1
5,64.0,7314,26436.0,804,759.5575175,14497.21235,0,1
2,68.0,7314,26436.0,783,564.2462321,14328.01234,0,1
11,64.0,7314,26436.0,808,607.4388601,14377.37288,0,0
2,60.0,7314,26436.0,798,230.2817808,13705.87364,0,0
11,60.0,7314,26436.0,804,374.7372918,13773.60787,0,1
5,64.0,7314,26436.0,799,531.2090523,13137.45191,0,1
8,60.0,7314,26436.0,797,219.0270529,13599.54615,0,0
5,73.0,7314,26436.0,796,437.09925,13603.93769,0,1
8,73.0,7314,26436.0,796,437.09925,13603.93769,0,0
11,73.0,7314,26436.0,768,413.0794634,13785.89038,0,0
2,68.0,7314,26436.0,767,584.9602586,13954.59015,0,0
5,73.0,7314,26436.0,768,841.7508704,13869.5989,0,0
2,73.0,7314,26436.0,768,920.1404674,13969.01336,0,0
8,103.0,7314,26436.0,770,1064.775165,12655.84222,0,0
5,104.0,7314,26436.0,775,1071.302086,12497.87523,0,0
2,93.0,7314,26436.0,768,630.1860891,12933.40004,0,0
14,104.0,7314,26436.0,762,838.7342721,14056.36221,0,0
8,91.0,7314,26436.0,771,637.4782167,12756.69895,0,0
5,108.0,7314,26436.0,772,395.2834318,13131.10327,0,0
8,91.0,7314,26436.0,932,1203.260971,12225.9666,0,0
8,101.0,7314,26436.0,924,1197.970739,12183.65311,0,1
2,84.0,7314,26436.0,780,175.9996626,13929.09011,0,0
5,84.0,7314,26436.0,778,313.9125405,14081.75445,0,1
5,93.0,7314,26436.0,774,437.1252509,14069.52481,0,0
5,84.0,7314,26436.0,790,330.6215981,14050.04144,0,1
8,84.0,7314,26436.0,791,795.7862265,14497.81326,0,0
5,84.0,7314,26436.0,790,720.1076318,14472.3069,0,0
5,103.0,7314,26436.0,794,509.4958763,14255.52658,0,0
2,94.0,7314,26436.0,809,799.092831,14568.67994,0,0
8,94.0,7314,26436.0,808,799.092831,14568.67994,0,0
23,90.0,7314,26436.0,1008,479.9025487,14026.39208,0,0
8,103.0,7314,26436.0,763,357.9718548,13720.88014,0,0
5,107.0,7314,26436.0,773,383.6559586,13572.42612,0,0
2,111.0,7314,26436.0,763,395.0933181,13697.94793,0,0
5,93.0,7314,26436.0,765,539.3195403,13896.79555,0,0
5,100.0,7314,26436.0,917,662.8841699,13691.41508,0,1
8,93.0,7314,26436.0,766,841.3610367,13819.32167,0,0
2,96.0,7314,26436.0,768,892.7919415,13893.88703,0,0
5,93.0,7314,26436.0,768,966.8206467,13936.93038,0,0
